user_pseudo_id,conversion_flag,predicted_conversion_flag,conversion_probability
1362308660.1743474749,0,1,0.778236985206604
1872739497.1744371037,0,1,0.78385710716247559
257964603.1743894407,0,1,0.65841591358184814
2138261420.1744857428,0,1,0.83365797996521
1103271703.1745137839,0,1,0.829423725605011
1619052880.1743732941,0,1,0.67597782611846924
347784802.1744664849,0,1,0.83001434803009033
644076342.1744618528,0,1,0.73998123407363892
853265784.1744845084,0,1,0.86072021722793579
145210660.1744116738,0,1,0.83001434803009033
1481234794.1743572290,0,1,0.56014329195022583
1002497699.1745118926,0,1,0.89352089166641235
2051785366.1743419956,0,1,0.8601691722869873
1349942330.1744019510,0,1,0.69638854265213013
501506400.1745315076,0,1,0.90997195243835449
1971405296.1744262619,0,1,0.76082485914230347
1950260518.1744096029,0,1,0.75380086898803711
1646750428.1744416567,0,1,0.61626052856445312
45725860.1744853381,0,1,0.53762900829315186
1658968034.1744955326,0,1,0.83001434803009033
484557563.1744543076,0,1,0.87279659509658813
2131257774.1744163120,0,1,0.70229750871658325
2105313423.1743547659,0,1,0.66773521900177
1368883695.1744182519,0,1,0.80996197462081909
1928687031.1745315423,0,1,0.75889641046524048
799811069.1744196771,0,1,0.7875780463218689
522713204.1745183581,0,1,0.89885222911834717
1719079612.1744599885,0,1,0.71876507997512817
1118688340.1743729699,0,1,0.70138120651245117
1231746688.1743636938,0,1,0.83241313695907593
1444295135.1744959194,0,1,0.72444438934326172
1529940804.1743895196,0,1,0.81663727760314941
1030334997.1745114091,0,1,0.57794392108917236
1618983826.1743389255,0,1,0.69645774364471436
1502140661.1743425011,0,1,0.61438244581222534
1015548105.1743554398,0,1,0.83001434803009033
1070555721.1744069712,0,1,0.64362633228302
1094686211.1745124441,0,1,0.78067111968994141
549011243.1744695115,0,1,0.83001434803009033
1209639395.1743649457,0,1,0.830135703086853
838789190.1743388439,0,1,0.69062858819961548
2001396635.1743983460,0,1,0.67656815052032471
2108030422.1745103091,0,1,0.790187418460846
657490390.1743732608,0,1,0.85114914178848267
271997848.1743374412,0,1,0.790187418460846
1636480834.1743473431,0,1,0.72190213203430176
1131306013.1744087328,0,1,0.76015937328338623
585950803.1743382124,0,1,0.790187418460846
1599121545.1743723540,0,1,0.79747533798217773
1294876147.1744618008,0,1,0.76015937328338623
687449819.1743469468,0,1,0.88029348850250244
198900933.1744801173,0,1,0.74605941772460938
1054956057.1744767752,0,1,0.81887364387512207
279909600.1743486907,0,1,0.74605941772460938
1790550982.1744079162,0,1,0.90543645620346069
2001544374.1744072588,0,1,0.79747533798217773
7308175.1744090017,0,1,0.90363949537277222
40070543.1742789888,0,1,0.71562904119491577
1708791083.1744423682,0,1,0.7965623140335083
976350143.1743391753,0,1,0.81603854894638062
195262805.1743459708,0,1,0.72190213203430176
222217877.1743746038,0,1,0.76015937328338623
895476531.1743814174,0,1,0.80285918712615967
1192733977.1744087946,0,1,0.76015937328338623
904770550.1745281500,0,1,0.76015937328338623
598912899.1739183575,0,1,0.68657588958740234
1283746219.1743906835,0,1,0.74605941772460938
1904278157.1744270549,0,1,0.96187573671340942
1719011887.1743632532,0,1,0.790187418460846
1885732427.1743983685,0,1,0.76015937328338623
124196585.1743411693,0,1,0.76015937328338623
